Method,Suspiciousness
sympy.assumptions.refine.refine(),1.0
sympy.assumptions.refine.refine_abs(),0.9304889
sympy.assumptions.refine.refine_Pow(),0.8789545
sympy.simplify.simplify.simplify(),0.85017186
sympy.assumptions.refine.refine_atan2(),0.8084486
sympy.assumptions.refine.refine_sign(),0.7933591
sympy.polys.rootisolation.dup_inner_refine_real_root(),0.71674025
sympy.matrices.common.MatrixOperations.refine(),0.6983545
sympy.assumptions.refine.refine_re(),0.6857847
sympy.integrals.transforms._inverse_laplace_transform(),0.68277967
sympy.assumptions.refine.refine_im(),0.6736716
sympy.integrals.transforms._laplace_transform(),0.65664214
sympy.polys.rootoftools.ComplexRootOf.eval_rational(),0.6309941
sympy.polys.rootoftools.ComplexRootOf._refine_complexes(),0.62838256
sympy.polys.polytools.Poly.refine_root(),0.5999297
sympy.calculus.util.periodicity(),0.5920455
sympy.integrals.meijerint._check_antecedents(),0.59013104
sympy.assumptions.refine.refine_matrixelement(),0.58652526
sympy.assumptions.refine._refine_reim(),0.5799331
sympy.core.basic.Basic.refine(),0.57603675
sympy.integrals.transforms._inverse_mellin_transform(),0.5735516
sympy.integrals.integrals.Integral.doit(),0.5698901
sympy.polys.rootisolation.dup_outer_refine_real_root(),0.568274
sympy.series.limits.Limit.doit(),0.56727886
sympy.matrices.expressions.determinant.refine_Determinant(),0.5541149
sympy.polys.polytools.refine_root(),0.5536591
sympy.assumptions.ask.ask(),0.55158806
sympy.matrices.expressions.inverse.refine_Inverse(),0.54955035
sympy.matrices.expressions.matmul.refine_MatMul(),0.5495155
sympy.functions.elementary.exponential.log.eval(),0.5486316
sympy.matrices.expressions.transpose.refine_Transpose(),0.54434794
sympy.polys.rootisolation._real_isolate_and_disjoin(),0.54369015
sympy.polys.rootisolation.dup_inner_isolate_real_roots(),0.5378292
sympy.functions.elementary.complexes.polar_lift.eval(),0.5333786
sympy.functions.elementary.piecewise.piecewise_simplify_arguments(),0.52491367
sympy.integrals.integrals.integrate(),0.5220065
sympy.integrals.transforms._simplifyconds(),0.5214648
sympy.functions.elementary.complexes.principal_branch.eval(),0.51773125
sympy.polys.rootoftools.ComplexRootOf._refine_imaginary(),0.51623833
sympy.integrals.trigonometry.trigintegrate(),0.5144165
sympy.physics.hydrogen.Psi_nlm(),0.5130277
sympy.polys.polyclasses.DMP.refine_root(),0.51127577
sympy.polys.rootisolation.dup_refine_real_root(),0.50935507
sympy.integrals.integrals.Integral._eval_derivative(),0.5004555
sympy.solvers.solveset.solveset(),0.49893498
sympy.polys.rootisolation.dup_step_refine_real_root(),0.4953263
sympy.integrals.meijerint._condsimp(),0.4940133
sympy.functions.elementary.miscellaneous.real_root(),0.4937099
sympy.polys.rootisolation.ComplexInterval.refine(),0.49030498
sympy.functions.elementary.complexes.Abs.eval(),0.48846787
sympy.functions.elementary.miscellaneous.sqrt(),0.48762923
sympy.polys.rootisolation.RealInterval.refine(),0.4848851
sympy.polys.rootisolation.RealInterval._inner_refine(),0.4832908
sympy.polys.rootisolation.ComplexInterval.refine_step(),0.48180115
sympy.polys.rootisolation.RealInterval.refine_step(),0.47656354
sympy.polys.rootisolation.RealInterval.refine_disjoint(),0.47479695
sympy.polys.rootisolation.ComplexInterval.refine_disjoint(),0.47479695
sympy.simplify.radsimp.collect_abs(),0.46589765
sympy.integrals.transforms._rewrite_gamma(),0.46302316
sympy.simplify.fu.TR3(),0.45705748
sympy.functions.elementary.exponential.log.as_real_imag(),0.45013723
sympy.core.mod.Mod.eval(),0.44974503
sympy.core.evalf._create_evalf_table(),0.4486173
sympy.printing.codeprinter.ccode(),0.44686493
sympy.polys.rootisolation.RealInterval.refine_size(),0.44672334
sympy.core.relational.Equality._eval_simplify(),0.44620827
sympy.core.relational.Unequality._eval_simplify(),0.44620827
sympy.printing.rcode.rcode(),0.4458485
sympy.polys.rootisolation.ComplexInterval._inner_refine(),0.44441435
sympy.solvers.solvers.solve(),0.44418648
sympy.polys.compatibility.IPolys.dup_step_refine_real_root(),0.4424686
sympy.integrals.meijerint._rewrite_single(),0.44068864
sympy.polys.rootisolation.ComplexInterval.refine_size(),0.44053847
sympy.integrals.manualintegrate.manualintegrate(),0.43748853
sympy.integrals.integrals.Integral._eval_integral(),0.43740305
sympy.concrete.summations.Sum.is_convergent(),0.4354399
sympy.solvers.solveset._invert_real(),0.4352276
sympy.integrals.transforms._fourier_transform(),0.4352061
sympy.concrete.summations._eval_sum_hyper(),0.4351462
sympy.concrete.summations.Sum.euler_maclaurin(),0.43422836
sympy.polys.compatibility.IPolys.dup_refine_real_root(),0.4341807
