Method,Suspiciousness,ef,ep
sympy.core.sympify.sympify(),1.0,1,0
sympy.matrices.common.MatrixOperations.T(),1.0,1,0
sympy.matrices.dense.DenseMatrix.__eq__(),1.0,1,0
sympy.matrices.matrices.MatrixBase._handle_creation_inputs(),1.0,1,0
sympy.testing.runtests.PyTestReporter.finish(),1.0,1,0
sympy.testing.runtests.PyTestReporter.leaving_filename(),1.0,1,0
sympy.testing.runtests.PyTestReporter.test_exception(),1.0,1,0
sympy.testing.runtests.PyTestReporter.write_exception(),1.0,1,0
sympy.testing.runtests.SymPyTests.test_file(),1.0,1,0
sympy.utilities.iterables.flatten(),1.0,1,0
sympy.utilities.iterables.reshape(),1.0,1,0
sympy.matrices.expressions.blockmatrix.BlockMatrix._entry(),0.5773502691896258,1,2
sympy.matrices.expressions.matexpr.MatrixExpr.__getitem__(),0.5773502691896258,1,2
sympy.matrices.expressions.matexpr.MatrixExpr.as_explicit(),0.5773502691896258,1,2
sympy.matrices.expressions.matexpr.MatrixExpr.is_valid(),0.5773502691896258,1,2
sympy.matrices.expressions.matexpr.MatrixExpr.valid_index(),0.5773502691896258,1,2
sympy.core.numbers.Integer.__ge__(),0.5,1,3
sympy.matrices.common.MatrixOperations._eval_transpose(),0.5,1,3
sympy.matrices.common.MatrixOperations.transpose(),0.5,1,3
sympy.matrices.expressions.blockmatrix.BlockDiagMatrix.colblocksizes(),0.5,1,3
sympy.matrices.expressions.blockmatrix.BlockDiagMatrix.rowblocksizes(),0.5,1,3
sympy.matrices.common.MatrixShaping.shape(),0.4472135954999579,1,4
sympy.matrices.common.MatrixShaping.tolist(),0.4472135954999579,1,4
sympy.matrices.dense.DenseMatrix._eval_tolist(),0.4472135954999579,1,4
sympy.matrices.expressions.blockmatrix.BlockDiagMatrix.__new__(),0.4082482904638631,1,5
sympy.matrices.expressions.blockmatrix.BlockDiagMatrix.blocks(),0.4082482904638631,1,5
sympy.matrices.expressions.blockmatrix.BlockDiagMatrix.shape(),0.4082482904638631,1,5
sympy.matrices.common.a2idx(),0.3779644730092272,1,6
sympy.matrices.matrices.MatrixBase.do(),0.31622776601683794,1,9
sympy.core.numbers.Integer.__index__(),0.2886751345948129,1,11
sympy.matrices.dense.MutableDenseMatrix.__new__(),0.2773500981126146,1,12
sympy.matrices.dense.MutableDenseMatrix._new(),0.2773500981126146,1,12
sympy.core.assumptions._ask(),0.24253562503633297,1,16
sympy.core.expr.Expr._eval_is_extended_positive(),0.24253562503633297,1,16
sympy.core.expr.Expr._eval_is_negative(),0.24253562503633297,1,16
sympy.core.expr.Expr._eval_is_positive(),0.24253562503633297,1,16
sympy.core.logic.fuzzy_bool(),0.24253562503633297,1,16
sympy.core.symbol.symbols(),0.24253562503633297,1,16
sympy.matrices.dense.DenseMatrix.__getitem__(),0.24253562503633297,1,16
sympy.matrices.expressions.blockmatrix.BlockMatrix.__new__(),0.24253562503633297,1,16
sympy.matrices.expressions.matexpr.MatrixExpr.cols(),0.24253562503633297,1,16
sympy.matrices.expressions.matexpr.MatrixExpr.rows(),0.24253562503633297,1,16
sympy.matrices.expressions.matexpr.MatrixSymbol.shape(),0.24253562503633297,1,16
sympy.matrices.immutable.ImmutableDenseMatrix.__new__(),0.24253562503633297,1,16
sympy.matrices.immutable.ImmutableDenseMatrix._mat(),0.24253562503633297,1,16
sympy.matrices.immutable.ImmutableDenseMatrix._new(),0.24253562503633297,1,16
