Method,Suspiciousness
sympy.integrals.intpoly.decompose(),1.0
sympy.solvers.ode._frobenius(),0.97
sympy.utilities.runtests.PyTestReporter.finish(),0.96
sympy.solvers.ode.ode_nth_linear_euler_eq_homogeneous(),0.95
sympy.combinatorics.homomorphisms.GroupHomomorphism.image(),0.94
sympy.utilities.randtest._randrange(),0.91
sympy.polys.subresultants_qq_zz.modified_subresultants_pg(),0.88
sympy.physics.continuum_mechanics.beam.Beam.bending_moment(),0.87
sympy.utilities.runtests.PyTestReporter.test_fail(),0.86
sympy.matrices.common.MatrixShaping.extract(),0.84
sympy.core.exprtools.factor_nc(),0.83
sympy.utilities.runtests.PyTestReporter.write_exception(),0.82
sympy.logic.boolalg.truth_table(),0.81
sympy.solvers.ode.classify_sysode(),0.76
sympy.polys.densebasic.dmp_from_dict(),0.75
sympy.polys.galoistools.linear_congruence(),0.74
sympy.utilities.lambdify.lambdify(),0.73
sympy.core.compatibility.default_sort_key(),0.7
sympy.solvers.deutils._desolve(),0.68
sympy.printing.ccode.ccode(),0.66
sympy.core.numbers.Integer.__radd__(),0.64
sympy.printing.rust.rust_code(),0.63
sympy.solvers.ode.solve_ics(),0.62
sympy.sets.sets.ProductSet.is_iterable(),0.61
sympy.polys.polytools.poly_from_expr(),0.6
sympy.polys.polytools._poly_from_expr(),0.59
sympy.combinatorics.coset_table.coset_enumeration_c(),0.55
sympy.functions.special.bsplines.bspline_basis_set(),0.54
sympy.solvers.ode.checkinfsol(),0.52
sympy.plotting.pygletplot.plot.PygletPlot.__len__(),0.5
sympy.printing.octave.octave_code(),0.48
sympy.printing.jscode.jscode(),0.46
sympy.core.evalf.add_terms(),0.43
sympy.matrices.dense.MutableDenseMatrix._new(),0.4
sympy.matrices.matrices._MinimalMatrix.__getitem__(),0.39
sympy.matrices.matrices.MatrixEigen.left_eigenvects(),0.32
sympy.matrices.common._MinimalMatrix.__getitem__(),0.3
sympy.physics.quantum.spin._uncouple(),0.29
sympy.plotting.pygletplot.plot.PygletPlot.__str__(),0.26
sympy.polys.densebasic.dmp_degree_list(),0.25
sympy.solvers.solveset.linsolve(),0.24
sympy.integrals.manualintegrate.eval_trigsubstitution(),0.21
sympy.polys.densebasic._rec_degree_list(),0.17
sympy.plotting.pygletplot.plot.PygletPlot.__delitem__(),0.16
sympy.calculus.util.AccumulationBounds.__ge__(),0.15
sympy.calculus.util.AccumulationBounds.__gt__(),0.14
sympy.calculus.util.AccumulationBounds.__le__(),0.12
sympy.utilities.runtests.run_in_subprocess_with_hash_randomization(),0.11
sympy.polys.polyutils._parallel_dict_from_expr_if_gens(),0.1
sympy.concrete.expr_with_limits.ExprWithLimits.__new__(),0.05
sympy.polys.densebasic.dmp_strip(),0.01
