Statement,Suspiciousness
sympy.testing.runtests#2286,1.0
sympy.parsing.latex._antlr.latexparser#948,0.99
sympy.testing.runtests#2288,0.98
sympy.parsing.latex._antlr.latexparser#1031,0.97
sympy.testing.runtests#2287,0.96
sympy.parsing.latex._antlr.latexparser#2576,0.95
sympy.testing.runtests#2241,0.94
sympy.functions.combinatorial.numbers#746,0.93
sympy.integrals.rubi.rules.special_functions#896,0.92
sympy.testing.runtests#2182,0.91
sympy.printing.pretty.pretty#1924,0.9
sympy.integrals.rubi.rules.binomial_products#1800,0.89
sympy.integrals.rubi.rules.binomial_products#1790,0.88
sympy.integrals.rubi.rules.binomial_products#1799,0.87
sympy.testing.runtests#1305,0.86
sympy.integrals.rubi.rules.special_functions#912,0.85
sympy.concrete.products#116,0.84
sympy.testing.runtests#1307,0.83
sympy.printing.str#426,0.82
sympy.simplify.fu#1131,0.81
sympy.simplify.fu#1608,0.8
sympy.testing.runtests#2340,0.79
sympy.integrals.meijerint#636,0.78
sympy.integrals.rubi.rules.inverse_hyperbolic#3119,0.77
sympy.testing.runtests#2341,0.76
sympy.core.exprtools#1273,0.75
sympy.core.exprtools#1224,0.74
sympy.core.exprtools#1226,0.73
sympy.core.exprtools#1225,0.72
sympy.integrals.rubi.rules.special_functions#884,0.71
sympy.integrals.rubi.rules.special_functions#924,0.7
sympy.core.exprtools#1234,0.69
sympy.integrals.rubi.rules.special_functions#900,0.68
sympy.integrals.rubi.rules.special_functions#928,0.67
sympy.core.exprtools#1236,0.66
sympy.core.exprtools#1238,0.65
sympy.core.exprtools#1237,0.64
sympy.core.exprtools#1230,0.63
sympy.integrals.rubi.rules.special_functions#904,0.62
sympy.integrals.rubi.rules.inverse_trig#2910,0.61
sympy.simplify.fu#266,0.6
sympy.combinatorics.permutations#2613,0.59
sympy.combinatorics.permutations#2606,0.58
sympy.integrals.rubi.rules.binomial_products#1407,0.57
sympy.printing.pretty.pretty#1909,0.56
sympy.printing.pretty.pretty#1916,0.55
sympy.printing.pretty.pretty#1906,0.54
sympy.calculus.util#601,0.53
sympy.printing.pretty.pretty#1940,0.52
sympy.integrals.rubi.rules.binomial_products#1417,0.51
sympy.printing.pretty.pretty#1943,0.5
sympy.parsing.latex._antlr.latexparser#1577,0.49
sympy.printing.pretty.pretty#1946,0.48
sympy.core.expr#2480,0.47
sympy.printing.pretty.pretty#1930,0.46
sympy.core.numbers#3871,0.45
sympy.simplify.hyperexpand#208,0.44
sympy.calculus.util#736,0.43
sympy.printing.pretty.pretty#1938,0.42
sympy.core.power#320,0.41
sympy.printing.pretty.pretty#59,0.4
sympy.core.power#322,0.39
sympy.simplify.fu#1121,0.38
sympy.simplify.fu#1139,0.37
sympy.simplify.fu#1120,0.36
sympy.simplify.radsimp#1078,0.35
sympy.simplify.radsimp#1079,0.34
sympy.simplify.radsimp#1077,0.33
sympy.printing.pretty.pretty#62,0.32
sympy.functions.elementary.trigonometric#2625,0.31
sympy.simplify.radsimp#1111,0.3
sympy.core.numbers#1760,0.29
sympy.physics.quantum.spin#1754,0.28
sympy.core.numbers#1757,0.27
sympy.geometry.entity#374,0.26
sympy.integrals.meijerint#634,0.25
sympy.core.mul#1500,0.24
sympy.core.mul#1413,0.23
sympy.core.mul#1412,0.22
sympy.printing.pretty.pretty_symbology#46,0.21
sympy.core.mul#1416,0.2
sympy.physics.quantum.spin#545,0.19
sympy.integrals.integrals#616,0.18
sympy.core.numbers#759,0.17
sympy.functions.elementary.trigonometric#110,0.16
sympy.solvers.solveset#907,0.15
sympy.functions.elementary.exponential#451,0.14
sympy.functions.elementary.exponential#452,0.13
sympy.calculus.util#46,0.12
sympy.functions.elementary.exponential#359,0.11
sympy.functions.elementary.exponential#263,0.1
sympy.integrals.meijerint#1424,0.09
sympy.integrals.rubi.rules.binomial_products#1770,0.08
sympy.functions.elementary.exponential#268,0.07
sympy.functions.elementary.exponential#269,0.06
sympy.functions.elementary.exponential#448,0.05
sympy.functions.elementary.exponential#272,0.04
sympy.functions.elementary.exponential#266,0.03
sympy.functions.elementary.hyperbolic#54,0.02
sympy.simplify.fu#791,0.01
