bug,raw_hit,raw_rank,rtk_hit,rtk_rank,outcome
sympy__sympy-12419,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-12454,True,3,True,2,BOTH_HIT_RTK_BETTER
sympy__sympy-12481,False,,False,,BOTH_MISS
sympy__sympy-13031,True,1,True,3,BOTH_HIT_RTK_WORSE
sympy__sympy-13043,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-13146,False,,False,,BOTH_MISS
sympy__sympy-13177,False,,True,1,RTK_GAIN
sympy__sympy-13437,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-13471,False,,False,,BOTH_MISS
sympy__sympy-13480,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-13647,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-13773,True,1,False,,COMPRESSION_TAX
sympy__sympy-13895,False,,False,,BOTH_MISS
sympy__sympy-13915,False,,False,,BOTH_MISS
sympy__sympy-13971,True,1,False,,COMPRESSION_TAX
sympy__sympy-14024,False,,False,,BOTH_MISS
sympy__sympy-14308,True,1,False,,COMPRESSION_TAX
sympy__sympy-14317,False,,False,,BOTH_MISS
sympy__sympy-14396,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-14774,False,,True,1,RTK_GAIN
sympy__sympy-14817,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-15011,True,1,False,,COMPRESSION_TAX
sympy__sympy-15308,False,,False,,BOTH_MISS
sympy__sympy-15345,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-15346,True,1,False,,COMPRESSION_TAX
sympy__sympy-15609,True,2,True,1,BOTH_HIT_RTK_BETTER
sympy__sympy-15678,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-16106,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-16281,True,1,False,,COMPRESSION_TAX
sympy__sympy-16503,True,1,False,,COMPRESSION_TAX
sympy__sympy-16792,False,,False,,BOTH_MISS
sympy__sympy-16988,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-17022,True,2,True,1,BOTH_HIT_RTK_BETTER
sympy__sympy-17139,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-17630,False,,False,,BOTH_MISS
sympy__sympy-17655,True,1,True,2,BOTH_HIT_RTK_WORSE
sympy__sympy-18057,False,,False,,BOTH_MISS
sympy__sympy-18087,False,,False,,BOTH_MISS
sympy__sympy-18189,True,1,False,,COMPRESSION_TAX
sympy__sympy-18199,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-18532,False,,False,,BOTH_MISS
sympy__sympy-18621,False,,True,1,RTK_GAIN
sympy__sympy-18698,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-18835,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-19007,True,1,False,,COMPRESSION_TAX
sympy__sympy-19254,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-19487,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-20049,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-20154,True,1,False,,COMPRESSION_TAX
sympy__sympy-20212,True,1,True,2,BOTH_HIT_RTK_WORSE
sympy__sympy-20322,True,2,False,,COMPRESSION_TAX
sympy__sympy-20442,False,,False,,BOTH_MISS
sympy__sympy-20639,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-21055,False,,False,,BOTH_MISS
sympy__sympy-21171,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-21379,False,,False,,BOTH_MISS
sympy__sympy-21612,False,,False,,BOTH_MISS
sympy__sympy-21614,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-21627,False,,False,,BOTH_MISS
sympy__sympy-21847,False,,True,1,RTK_GAIN
sympy__sympy-22005,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-22714,False,,False,,BOTH_MISS
sympy__sympy-22840,False,,False,,BOTH_MISS
sympy__sympy-23117,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-23191,False,,False,,BOTH_MISS
sympy__sympy-23262,False,,False,,BOTH_MISS
sympy__sympy-24066,True,3,True,1,BOTH_HIT_RTK_BETTER
sympy__sympy-24102,True,1,True,1,BOTH_HIT_SAME_RANK
sympy__sympy-24152,False,,True,1,RTK_GAIN
sympy__sympy-24213,True,4,False,,COMPRESSION_TAX
sympy__sympy-24909,True,1,True,1,BOTH_HIT_SAME_RANK
