bug,raw_rank,rtk_rank,raw_bytes,rtk_bytes,reduction_percent,raw_traceback_frames,rtk_traceback_frames,removed_exception_types,removed_source_refs,removed_assertion_lines,removed_test_names,top5_overlap,category
sympy__sympy-13773,1,,2818,671,76.19,6,0,,5,1,2,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-13971,1,,4066,476,88.29,13,2,,10,0,2,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-14308,1,,4308,672,84.40,2,0,AssertionError,6,4,4,1,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-15011,1,,1280,188,85.31,2,0,,3,0,2,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-15346,1,,1023,175,82.89,1,0,,2,1,2,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-16281,1,,2004,175,91.27,2,0,,2,2,3,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-16503,1,,992,175,82.36,1,0,,2,1,2,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-18189,1,,1034,175,83.08,1,0,,2,1,1,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-19007,1,,3557,175,95.08,4,0,,2,4,4,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-20154,1,,1989,175,91.20,2,0,,2,2,3,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-20322,2,,1010,175,82.67,1,0,,2,1,2,0,MULTIPLE_DEBUGGING_CLUES_REMOVED
sympy__sympy-24213,4,,1255,260,79.28,2,0,,3,0,2,2,MULTIPLE_DEBUGGING_CLUES_REMOVED
