bug,trigger_tests,resolved_tests,raw_bytes,rtk_bytes,reduction_pct,status
sympy__sympy-12419,1,1,1490,637,57.25,VALID
sympy__sympy-12454,2,2,5188,642,87.63,VALID
sympy__sympy-12481,1,1,1782,637,64.25,VALID
sympy__sympy-13031,1,1,958,175,81.73,VALID
sympy__sympy-13043,1,1,1506,650,56.84,VALID
sympy__sympy-13146,1,1,1514,650,57.07,VALID
sympy__sympy-13177,2,2,2620,655,75.00,VALID
sympy__sympy-13437,1,1,1840,671,63.53,VALID
sympy__sympy-13471,1,1,2024,671,66.85,VALID
sympy__sympy-13480,1,1,2660,671,74.77,VALID
sympy__sympy-13647,1,1,1907,671,64.81,VALID
sympy__sympy-13773,1,1,2818,671,76.19,VALID
sympy__sympy-13895,2,2,3705,671,81.89,VALID
sympy__sympy-13915,1,1,1877,671,64.25,VALID
sympy__sympy-13971,1,1,4066,476,88.29,VALID
sympy__sympy-14024,2,2,3701,671,81.87,VALID
sympy__sympy-14308,2,2,4308,672,84.40,VALID
sympy__sympy-14317,2,2,8724,476,94.54,VALID
sympy__sympy-14396,1,1,2429,672,72.33,VALID
sympy__sympy-14774,1,1,4363,476,89.09,VALID
sympy__sympy-14817,1,1,3379,672,80.11,VALID
sympy__sympy-15011,1,1,1280,188,85.31,VALID
sympy__sympy-15308,1,1,2090,286,86.32,VALID
sympy__sympy-15345,1,1,1012,175,82.71,VALID
sympy__sympy-15346,1,1,1023,175,82.89,VALID
sympy__sympy-15609,1,1,2108,286,86.43,VALID
sympy__sympy-15678,1,1,1256,218,82.64,VALID
sympy__sympy-16106,1,1,1059,175,83.47,VALID
sympy__sympy-16281,2,2,2004,175,91.27,VALID
sympy__sympy-16503,1,1,992,175,82.36,VALID
sympy__sympy-16792,1,1,1002,175,82.53,VALID
sympy__sympy-16988,2,2,2003,175,91.26,VALID
sympy__sympy-17022,1,1,1000,175,82.50,VALID
sympy__sympy-17139,2,2,4994,203,95.94,VALID
sympy__sympy-17630,2,2,3548,175,95.07,VALID
sympy__sympy-17655,2,2,2478,226,90.88,VALID
sympy__sympy-18057,1,1,957,175,81.71,VALID
sympy__sympy-18087,2,2,1994,175,91.22,VALID
sympy__sympy-18189,1,1,1034,175,83.08,VALID
sympy__sympy-18199,1,1,1011,175,82.69,VALID
sympy__sympy-18532,2,2,1976,175,91.14,VALID
sympy__sympy-18621,1,1,2472,205,91.71,VALID
sympy__sympy-18698,1,1,1008,175,82.64,VALID
sympy__sympy-18835,1,1,1179,203,82.78,VALID
sympy__sympy-19007,3,3,3557,175,95.08,VALID
sympy__sympy-19254,1,1,1027,175,82.96,VALID
sympy__sympy-19487,1,1,1027,175,82.96,VALID
sympy__sympy-20049,4,4,7299,234,96.79,VALID
sympy__sympy-20154,2,2,1989,175,91.20,VALID
sympy__sympy-20212,1,1,956,175,81.69,VALID
sympy__sympy-20322,1,1,1010,175,82.67,VALID
sympy__sympy-20442,1,1,986,175,82.25,VALID
sympy__sympy-20639,2,2,1988,175,91.20,VALID
sympy__sympy-21055,1,1,981,175,82.16,VALID
sympy__sympy-21171,1,1,2545,451,82.28,VALID
sympy__sympy-21379,1,1,2782,239,91.41,VALID
sympy__sympy-21612,1,1,1011,175,82.69,VALID
sympy__sympy-21614,1,1,1006,175,82.60,VALID
sympy__sympy-21627,1,1,94717,239,99.75,VALID
sympy__sympy-21847,1,1,1020,175,82.84,VALID
sympy__sympy-22005,1,1,1195,203,83.01,VALID
sympy__sympy-22714,1,1,1182,213,81.98,VALID
sympy__sympy-22840,2,2,2057,175,91.49,VALID
sympy__sympy-23117,1,1,1951,220,88.72,VALID
sympy__sympy-23191,1,1,985,175,82.23,VALID
sympy__sympy-23262,1,1,977,175,82.09,VALID
sympy__sympy-24066,1,1,1305,274,79.00,VALID
sympy__sympy-24102,2,2,3666,222,93.94,VALID
sympy__sympy-24152,1,1,1035,175,83.09,VALID
sympy__sympy-24213,1,1,1255,260,79.28,VALID
sympy__sympy-24909,1,1,992,175,82.36,VALID
